"","CU_Name","Year","GroupEsc","SumRawEsc"
"434","7 - Howe Sound-Burrard Inlet","1990",129961.407275074,115434
"435","7 - Howe Sound-Burrard Inlet","1991",166264.021287033,162244
"436","7 - Howe Sound-Burrard Inlet","1992",210875.9265028,77134
"437","7 - Howe Sound-Burrard Inlet","1993",150672.890235683,54465
"438","7 - Howe Sound-Burrard Inlet","1994",302642.664564488,286942
"439","7 - Howe Sound-Burrard Inlet","1995",127200.543977456,79615
"440","7 - Howe Sound-Burrard Inlet","1996",197476.664558616,150492
"441","7 - Howe Sound-Burrard Inlet","1997",288376.536308182,67438
"442","7 - Howe Sound-Burrard Inlet","1998",118133.593925185,3817
"443","7 - Howe Sound-Burrard Inlet","1999",73471.2684717445,2496
"444","7 - Howe Sound-Burrard Inlet","2000",332256.974135124,67929
"445","7 - Howe Sound-Burrard Inlet","2001",569200.926650207,117139
"446","7 - Howe Sound-Burrard Inlet","2002",590726.351215124,121357
"447","7 - Howe Sound-Burrard Inlet","2003",678096.314110473,149155
"448","7 - Howe Sound-Burrard Inlet","2004",1281002.51896542,283303
"449","7 - Howe Sound-Burrard Inlet","2005",317754.455596772,69940
"450","7 - Howe Sound-Burrard Inlet","2006",45784.5709515665,2176
"451","7 - Howe Sound-Burrard Inlet","2007",629834.864514556,323022
"452","7 - Howe Sound-Burrard Inlet","2008",460224.524520474,235551
"453","7 - Howe Sound-Burrard Inlet","2009",714738.714294067,365935
"454","7 - Howe Sound-Burrard Inlet","2010",232235.088934254,118862
"455","7 - Howe Sound-Burrard Inlet","2011",234799.35053947,119748
"456","7 - Howe Sound-Burrard Inlet","2012",957288.83100147,460765
"457","7 - Howe Sound-Burrard Inlet","2013",1156349.29224951,590253
"458","7 - Howe Sound-Burrard Inlet","2014",289893.760783418,139006
"459","7 - Howe Sound-Burrard Inlet","2015",449469.236131659,215723
"460","7 - Howe Sound-Burrard Inlet","2016",1400246.3838953,672049
